2.6	7.8	0.5	0.5	0.014
3	3.3	0.7	0.7	0.027
3	10.3	1.1	1.1	0.056
4	11.8	0.8	0.8	0.018
5	12.3	0.6	0.6	0.014
5.25	14.5	0.7	0.7	0.021
6	14.3	0.6	0.6	0.015
6	8.3	0.8	0.8	0.02
6.3	7.8	1.2	0.8	0.014
6.75	11.55	1.1	1.1	0.015
6.75	4.05	1.6	1	0.03
6.8	14.05	1.6	1.2	0.064
7.25	18.3	2.6	1.6	0.045
7.6	16.05	0.5	0.5	0.01
8.25	15.8	0.7	0.7	0.02
8.5	8.05	0.9	0.9	0.02
9.5	18.55	0.5	0.5	0.018
11.25	17.8	0.6	0.6	0.022
11.5	15.55	0.6	0.6	0.019
11.75	17.5	0.5	0.5	0.017
11.75	6.55	0.9	0.7	0.019
13.8	17.55	0.9	0.7	0.016
41.25	12.05	1.5	1	0.031
41.5	4.3	1.3	1.1	0.023
41.75	8.8	0.5	0.5	0.015
42.5	13.55	0.9	0.6	0.024
43	12.55	0.4	0.4	0.013
43.75	13.05	0.4	0.4	0.017
44.75	14.55	0.7	0.7	0.018
45.6	13.55	0.5	0.5	0.015
44	12.05	0.8	0.8	0.012
46	4.8	0.6	0.6	0.012
45.5	13.3	3.6	2	0.035
